# Page 1
To disburse the first instalment of Untied/ Basic Grants for the year 2022-2023 under Non-Million Plus Cities as per the recommendations of the 15th Finance Commission.
The Government of Maharashtra
the Urban Development Department
Government Resolution No: FFC-2023/ No.35/ NV-4
Mantralaya, Mumbai- 400032
Date: 30th of March, 2023
Read: 1. Urban Development Department, Govt. FFC 2020/ Q.No.56/ NO-04, Dt. 28.10.2020 2. Letter from the Central Government (ULB Release No. 123/2022-23) No.F15 (03)/ FC-XV/ FCD/ 2020-25, dated 29.03.2023.
The Proposal:
The 15th Finance Commission has been constituted for the period 2021-22 to 2025-26. 2 Under the 15th Finance Commission Order dated 29.03.2023, Rs. 191.00 crore has been received for the year 2022-23 and the matter of disbursement of the same to the Urban Local Bodies in the State was under consideration of the Government.
Government's decision:
As per the recommendations of the 15th Central Finance Commission, Govt. The first instalment of Untied/ Basic Grants for the year 2022-2023 released under the order is Rs. 191.00 crore to all eligible D category Municipal Corporations, Municipal Councils and Nagar Panchayats in Non-Million Plus Cities group and Cuttack Mandal on the basis of i) Population ii) Area as indicated in the Annexure.
2) Rs. 191.00 crore is being handed over to the Commissioner and Director, Directorate of Municipal Administration for disbursement to the Urban Local Bodies as per Annexure. The Commissioner and Director, Directorate of Municipal Administration should immediately disburse their share of funds to the respective Urban Local Bodies through the PEMS system as per the annexure.
Application Certificate in the prescribed format of the amount of 15th Finance Commission Untied/ Basic Grants received from the Central Government for the financial year 2022-2023 from the immediate Commissioner and Director, Municipal Administration.
# Page 2
Government Resolution No: FFC-2023/ No.35/ NV-4, Directorate, Mumbai to be submitted to the Government. While spending from this subsidy, it will be mandatory to do as per the provisions of the government decision issued by the government as well as the instructions given from time to time. The grant is being distributed as" conditional."
As per the recommendations of the 15th Finance Commission, the first instalment of Untied/ Basic Grants for the year 2022-2023 is being disbursed to the D category Municipal Corporations, Municipalities and Nagar Panchayats as well as Cuttack Mandal as mentioned above. F-2, 2217 Urban Development, 05, Other Urban Development Schemes, 191, Assistance to Urban Local Bodies, Urban Development Authorities, Urban Development Boards, etc., (00) (03) Subsidiary Grants to Urban Local Bodies (Compulsory) as per the recommendations of the Fifteenth Finance Commission, (2217 A314) 31, Subsidiary Grants (Non-salaried).
The Joint Commissioner, Directorate of Municipal Administration is being declared as the Controlling Officer and the concerned Assistant Commissioner (Accounts), Directorate of Municipal Administration as the Drawing and Disbursing Officer for the purpose of collection and disbursement of the said funds.
6. The said Government Decision is a non-official reference of Finance Department No. 12/2023/ V.A.C., dated 30.03.2023 is being issued with the concurrence received.
-------------------------------------------------------------------------------------------------------
| The decision will be available on the website of the Maharashtra government www.maharashtra.gov.in. |
| The code is 202303301837104425.                                                                     |
| It is being verified by digital signature.                                                          |
-------------------------------------------------------------------------------------------------------
By order and in the name of the Governor of Maharashtra, MHENDRA
PARBAT DALVI
(Mahendra Singh Dhoni)
Administrative Officer, Government of Maharashtra 1. Additional Chief Secretary to Chief Minister 2. Chief Secretary, Mantralaya, Mumbai 3. Additional Chief Secretary, Finance Department, Mantralaya, Mumbai 4. Commissioner and Director, Directorate of Municipal Administration, Worli, Mumbai 5. Accountant General's Office, Maharashtra 1/2. Mumbai/ Nagpur 6. Subordinate and Accounts Officer, Mumbai 7. All Divisional Commissioners 8. All Collectors 9. Commissioners, all concerned Municipal Corporations 10. Chief Officers, all Municipal Councils/ Nagar Panchayats 11. Chief Executive Officers, concerned Taluk Mandals 2 out of 14
# Page 3
GOVERNMENT DECISION NO.: FFC-2023/ S.No.35/ NV-4, 12. All District Treasury Officers 13. Cell Officer (Viac), Ministry of Finance, Mumbai 14. Personal Assistant to Additional Chief Secretary, Urban Development-I Department, Ministry, Mumbai
Personal Assistant to Principal Secretary, Urban Development-II, Mantralaya, Mumbai 16. Selection, Navi-IV Office, Urban Development Department, Mantralaya, Mumbai
Page 3 of 14
# Page 4
Government Resolution No: FFC-2023/ No.35/ No.4,
Annexure with Government Resolution No. FFC-2023/ No.35/ NV-4 dated 30th March, 2023.
---------------------------------------------------------------------------------------------------------------------------------------
| A.A.    | the District             | Name of the Board M.N.P./ N.P./ N.P./ Cuttack | Funds payable as per population and area (Rs.) |
| 1       | 2                        | 3                                             | 4                                              |
| 1       | thana                    | Bhiwandi Nizampur Municipal Corporation       | 5,61,83, 039                                   |
| 2       | thana                    | Ulhasnagar Municipal Corporation              | 3,99,35, 424                                   |
| 3       | thana                    | the Ambernath Municipal Council               | 2,07,10, 792                                   |
| 4       | thana                    | Badlapur Municipal Council                    | 1,44,59, 265                                   |
| thana   | Shahapur Nagar Panchayat | 10,48,999                                     |
| 6       | thana                    | Murbad Nagar Panchayat                        | 18,64,806                                      |
| Palghar | Jawhar Municipal Council | 10,22,172                                     |
| 8       | Palghar                  | the Dahanu Municipal Council                  | 43,48,869                                      |
| 9       | Palghar                  | Palghar Municipal Council                     | 68,41,252                                      |
| 10      | Palghar                  | Vikramgad Nagar Panchayat                     | 9,23,442                                       |
| 11      | Palghar                  | Talasari Nagar Panchayat                      | 19,29,560                                      |
| 12      | Palghar                  | Wada Nagar Panchayat                          | 15,56,509                                      |
| 13      | Palghar                  | Mokhada Nagar Panchayat                       | 13,01,099                                      |
| 14      | Raigad                   | Panvel Municipal Corporation                  | 4,24,20, 501                                   |
| 15      | Raigad                   | the Khopoli Municipal Council                 | 62,52,102                                      |
| 16      | Raigad                   | the Alibag Municipal Council                  | 16,65,345                                      |
| 17      | Raigad                   | the Mahad Municipal Council                   | 22,48,369                                      |
| 18      | Raigad                   | the Pen Municipal Council                     | 31,85,996                                      |
| 19      | Raigad                   | Roha Municipal Council                        | 16,71,395                                      |
| 20      | Raigad                   | the Uran Municipal Council                    | 24,35,651                                      |
| 21      | Raigad                   | Murud-Janjira Municipal Council               | 10,35,733                                      |
| 22      | Raigad                   | Shrivardhan Municipal Council                 | 12,75,381                                      |
| 23      | Raigad                   | Matheran Municipal Council                    | 5,07,009                                       |
| 24      | Raigad                   | the Karjat Municipal Council                  | 24,92,270                                      |
| 25      | Raigad                   | Mhasla Nagar Panchayat                        | 9,41,732                                       |
| 26      | Raigad                   | Lower Town Panchayat                          | 8,84,144                                       |
| 27      | Raigad                   | Poladpur Nagar Panchayat                      | 5,44,221                                       |
| 28      | Raigad                   | Mangaon Nagar Panchayat                       | 17,91,085                                      |
| 29      | Raigad                   | Khalapur Nagar Panchayat                      | 7,36,170                                       |
| 30      | Raigad                   | Pali Nagar Panchayat                          | 10,27,518                                      |
| 31      | Ratnagiri                | Ratnagiri Municipal Council                   | 62,07,169                                      |
| 32      | Ratnagiri                | the Chiplun Municipal Council                 | 46,52,084                                      |
| 33      | Ratnagiri                | Khed Municipal Council                        | 13,95,244                                      |
| 34      | Ratnagiri                | Rajapur Municipal Council                     | 9,03,198                                       |
---------------------------------------------------------------------------------------------------------------------------------------
Page 4 of 14
# Page 5
Government Resolution No: FFC-2023/ No.35/ No.4,
-------------------------------------------------------------------------
| 35 | Ratnagiri   | Dapoli Nagar Panchayat              | 13,32,187    |
| 36 | Ratnagiri   | Guhagar Nagar Panchayat             | 11,57,439    |
| 37 | Ratnagiri   | Devrukh Nagar Panchayat             | 14,70,064    |
| 38 | Ratnagiri   | Lanja Nagar Panchayat               | 22,23,734    |
| 39 | Ratnagiri   | Mandangad Nagar Panchayat           | 4,33,000     |
| 40 | Sindhudurg  | Sawantwadi Municipal Council        | 20,20,791    |
| 41 | Sindhudurg  | Vengurla Municipal Council          | 12,62,919    |
| 42 | Sindhudurg  | the Malvan Municipal Council        | 16,01,747    |
| 43 | Sindhudurg  | Kankavli Nagar Panchayat            | 14,74,854    |
| 44 | Sindhudurg  | Vaibhavwadi Nagar Panchayat         | 3,13,985     |
| 45 | Sindhudurg  | Kasai Dodamarg Nagar Panchayat      | 5,60,572     |
| 46 | Sindhudurg. | Koodal Nagar Panchayat              | 13,55,618    |
| 47 | Sindhudurg. | Devgad-Jamsande Nagar Panchayat     | 18,83,111    |
| 48 | Nashik      | Malegaon Municipal Corporation      | 3,82,62, 949 |
| 49 | Nashik      | the Manmad Municipal Council        | 69,17,446    |
| 50 | Nashik      | the Igatpuri Municipal Council      | 30,79,949    |
| 51 | Nashik      | Nandgaon Municipal Council          | 19,36,319    |
| 52 | Nashik      | Sinnar Municipal Council            | 62,43,382    |
