# Page 1
The Maharashtra Appointment of Minister as District Guardian Minister.
The Government of Maharashtra
the General Administration Department
GOVERNMENT DECISION NO.: JIPAM 1322/ PR No. 41/18-A
Madam Cama Road, Hutatma Rajguru Chowk,
Ministry (Extension), Mumbai 400 032
Date: 28th of September 2022.
Read:- Government Notification General Administration Department No. SHAKANI 2022/ S.No. 44/18 (Rs. 15th August, 2022.
Government's decision:
Pursuant to the Notification. Prime Minister and as District Minister.
The government has decided to appoint district-wise appointments as follows.
---------------------------------------------------------------------------------------------------------------------
| A.A. | Chief Minister                       | The name of the district                                            |
| 1.   | Devendra Fadnavis                    | These are Nagpur, Wardha, Amravati, Akola, Bhandara and Gadchiroli. |
| 2.   | Radhakrishna Eknathrao Vikhe-Patil   | Ahmednagar and Solapur.                                             |
| 3.   | Mr. Sudhir Sachchidanand Mungantiwar | Chandrapur, Gujarat.                                                |
| 4.   | Mr. Chandrakant (Dada) Bachhu Patil  | Pune.                                                               |
| 5.   | Mr. Vijaykumar Krishnarao Gavit      | Nandurbar.                                                          |
| 6.   | Mr. Girish Dattatraya Mahajan        | Dhule, Latur, Nanded.                                               |
| 7.   | Mr. Gulabrao Raghunath Patil         | Jalgaon, Buldhana.                                                  |
| 8.   | Mr. Dadaji Dagdu Bhuse               | Nashik.                                                             |
| 9.   | Mr. Sanjay Dulichand Rathore         | Yavatmal, Washim.                                                   |
| 10.  | Mr. Suresh (Bhai) Dagdu Khade        | Sangli.                                                             |
| 11.  | Mr. Sandipanrao Asaram Bhumre        | Aurangabad.                                                         |
| 12.  | Mr. Uday Ravindra Samant             | Ratnagiri, Raigad.                                                  |
| 13.  | Mr. Tanaji Jaywant Sawant            | Parbhani, Osmanabad                                                 |
| 14.  | Mr. Ravindra Dattatraya Chavan       | Palghar, Sindhudurg.                                                |
| 15.  | Mr. Abdul Sattar                     | Hingoli.                                                            |
| 16.  | Mr. Deepak Vasantrao Kesarkar        | Mumbai, Kolhapur.                                                   |
| 17.  | Mr. Atul Moreshwar Save              | Jalna, Beed.                                                        |
| 18.  | Mr. Shambhuraj Shivajirao Desai      | Satara, Thane.                                                      |
| 19.  | Mr. Mangal Prabhat Lodha             | Mumbai city.                                                        |
---------------------------------------------------------------------------------------------------------------------
# Page 2
GOVERNMENT DECISION NO.: JIPAM 1322/ PR No. 41/18-A
