# Page 1
Within the purview of Urban Local Bodies
Notified Specific Civil Services and Facilities
To provide funding for...
Government of Maharashtra
the Planning Department
Government Decision No. - Narrow-2024 / Q. No.27 / Ka-1411,
Mantralaya, Mumbai - 400 032
Date: 19th June, 2024.
Read: - Government Decision Planning Department No. Narrow-2024 / Q. 18 (23) / Q. 1411, D. March 14, 2024.
The Proposal: -
Read about the thematic plan: Ahmedpur Municipal Council and Chakur Nagar Panchayat as per the decision of the Government here.
For Rs. A fund of ₹1 crore has been sanctioned. in the Annexure to this Government Decision.
The local body does not have a clear mention of Ahmedpur Municipal Council and Chakur Nagar Panchayat in front of the sanctioned works.
There is no clarity on the activities within the purview of the autonomous bodies. Therefore, the list of works in this Schedule is hereby deleted.
The approval of the revised list was under the consideration of the government.
The Government's Decisions:
Read above: Withdrawal of the list of works in the Annexure to the Government Decision hereunder:
The revised list is being approved by the government.
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
| Annexure to Government Decision No. Narrow-2024 / Pro. र.27/क No.1411 dated 19th June, 2024 |
| Ahmedpur Municipal Council                                                                  |
| A. No.                                                                                      | The name of the work                                                                            | Rs. Attention |
| 1                                                                                           | Cement road from Ahmedpur No.5 Reddy Colony Marwale to Vaibhav Gaikwad's house                  | 10.00         |
| 2                                                                                           | Ahmedpur P.S. No.5 Padile to Patil, Reddy to construct a cement road near his house             | 10.00         |
| 3                                                                                           | Ahmedpur No. 4 Shopping Centre Shetkar to make cement road from Sude, Dalvi to his house        | 10.00         |
| 4                                                                                           | Road from Ahmedpur No. 5 Raddi Colony to Valsay's house to Umesh Reddy's house                  | 10.00         |
| 5                                                                                           | Ahmedpur No. 4 Construction of a slightly rammed cement road / drain from Prahlad Parande       | 10.00         |
| 6                                                                                           | Cement road in front of Bembe and Shekade houses in Raddi Colony, Ahmedpur P.No.5               | 10.00         |
| 7                                                                                           | Cement road / drain blockage from Ahmedpur P.No.3 Adarsh Nagar Sandeep Bhure to Madhav Gite     | 10.00         |
| 8                                                                                           | Ahmedpur No.3 Construction of cement road / drain from Vithal Anantrao to Shivaji Gutte's house | 10.00         |
| 9                                                                                           | Construction of cement road and drain in front of the house of Baburao Kadam, Ahmedpur No. 4.   | 10.00         |
| 10                                                                                          | Construction of cement road / drain from Ahmedpur No.4 Sharad Galale to Balu Bhagat's house     | 10.00         |
| 11                                                                                          | Construction of Cement Road / Drainage from Ahmedpur No.3 Chakurkar Sir to Kalyani's House      | 10.00         |
| 12                                                                                          | Road from Ahmedpur No. 4 More to D. P. Shingde's house                                          | 10.00         |
| 13                                                                                          | Ahmedpur No.4 Nandkumar Podar to Biradar Sir's house Poyant Cement Road                         | 10.00         |
| 14                                                                                          | Cement road and drain blockage from Ahmedpur PS No. 4 Devkatte to Bali Rathore's house          | 10.00         |
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
# Page 2
Government Decision No: Narrow-2024 / Q. No.27 / Ka-1411
--------------------------------------------------------------------------------------------------------------------------------------
| 15 | Construction of Cement Road / Drainage near Ahmedpur No.4 Nagesh Colony Shivaji Gaekwad to Prashant Birajdar House    | 10.00 |
| 16 | Ahmedpur No. 4 Construction of cement road from Ramakant Pune to Patil Hospital                                       | 10.00 |
| 17 | Construction of Concrete Road and Sewerage from Mahesh Shetkar to Dalvi Sir's House at Ahmedpur No. 5 Shopping Centre | 10.00 |
| 18 | Ahmedpur P.S. No.5 Ganesh Nagar Tembhurni Road Tukaram Bhinge to Shinde to construct a cement road across the house   | 10.00 |
| 19 | Road to Avinash's house in Ahmedpur No. 3 Hake Patil                                                                  | 10.00 |
| 20 | Construction of Cement Road from Ahmedpur PS No.3 DP Road to Karamunge Sir's House                                    | 10.00 |
| 21 | Construction of Cement Road / Drainage from Ahmedpur P.S.No.5 Konke Sir to Prakash Ladde House                        | 10.00 |
| 22 | Cement road from Ahmedpur No. 4 Pawan Malu to Pune in front of Sir Dr. Patil Hospital.                                | 10.00 |
