# Page 1
Distribution of Budgetary Grants for the year 2023-24 under the head' Principal Accounts 2235, Pension to Freedom Fighters and their dependents, etc.
(As of September 2023)
The Government of Maharashtra
the General Administration Department,
Government Resolution No: BUD-1423/ PR No.76/ SWASAIC.1
Hutatma Rajguru Chowk, Madam Cama Marg,
Mantralaya, Mumbai- 400 032
Date: October 5, 2023
Reference:- 1) Government Circular No., Fince-2023/ P. No.40/ Fince-3, D. 12/04/2023 2) GOVERNMENT NO., BUD-1423/ PR No.76/ SWASAK-1, Dy. 17.04.2023 3) GOVERNMENT NO., BUD-1423/ PR No.76/ SWASAIC-1, D 19.05.2023 4) GOVERNMENT NO., BUD-1423/ PR. No.76/ SWASAK-1, Dy. 04.07.2023
5) Government Resolution No., BUD-1423/ PR No.76/ SWASAC-1, dated 21.07.2023
6) GOVERNMENT NO., BUD-1423/ PR No.76/ SWASAK-1, Dated 25.08.2023
Preamble: Demand No. A-5, Head of Accounts 2235, Pension to Freedom Fighters and their Dependents, etc. (Mandatory), 04-Pensionary Expenditure (2235 0015). A budgetary provision of Rs. 154,24,35, 000/- (Rupees One Hundred and Fifty Four Crores Twenty Four Lakhs Thirty Five Thousand only) has been approved. Out of the budgetary allocation of Rs.
86,37,63, 600/- (Rupees Eighty Six Crores Thirty Seven Lakhs Sixty Three Thousand Six Hundred only). Of these, reference No. 2,3,4, 5 and 6 to all the District Collectors to meet the cost of pension. 54,18,90, 000/- has been disbursed.
The remaining Rs. 32,18,73, 600/- (Rs. 20,000) is under consideration of the Government to be handed over to the concerned Collector for the month of September, 2023.
Government Decision: For the financial year 2023-24, in the head of the head account 2235, pension to freedom fighters and their dependents, etc. (mandatory), (2235 0015), the following Rs.
154,24,35, 000/- (Rupees One hundred and fifty four crore twenty four lakh thirty five thousand only)
# Page 2
Government Resolution No: BUD-1423/ PR No.76/ SWASAIC.1
provision is approved. Out of the budgetary allocation of Rs. 10,76,60, 000/- (Rupees Ten Crores Seventy Six Lakh Sixty Thousand only) is being distributed to the concerned District Collectors to meet the expenditure on Freedom Fighter Pension for the month of September, 2023 as shown against the names of their districts in the statement A attached with the Government decision.
The balance of the amount spent from the fund distributed to the Collector should be reconciled with the Accountant General-1, Mumbai/ Accountant General-2, Nagpur within the prescribed time and submit the monthly report of the expenditure to the government regularly.
3. Expenditure for the current financial year. A-5,2235, Social Security and Welfare, 60, Other Social Security and Welfare Programmes, 102, Pension under Social Security Scheme, (00) (01) Pension to Freedom Fighters and their dependents, etc. (2235 0015) (Mandatory), 04- Pensionary expenditure to be met from the approved budgetary provision for the financial year 2023-24 under this head and to be spent under the same head. Also, the utility certificate of the amount spent should be submitted to the government from time to time.
This Government decision has been made available on the website of the Government of Maharashtra www.Maharashtra.gov.in and its code No. 202310051315465607. The government's decision is being verified by digital signature.
By order and in the name of the Governor of Maharashtra,
ASMITA VIJAY JAWDEKAR 21587823b9eaf45, postalcode=400032, st=Maharashtra,
(Amitav Ghosh)
Office of the Commissioner, Government of Maharashtra 1. Secretary to the Governor, Raj Bhavan, Mumbai. The Chairman, Secretary to the Maharashtra Legislative Council, Maharashtra Legislature Secretariat, Mumbai 3. Speaker, Secretary, Maharashtra Legislative Assembly, Maharashtra Legislature Secretariat, Mumbai 4. Deputy Speaker, Secretary, Maharashtra Legislative Council, Maharashtra Legislature Secretariat, Mumbai 5. Deputy Speaker, Secretary, Maharashtra Legislative Assembly, Maharashtra Legislature Secretariat, Mumbai 6. Principal Secretary to the Chief Minister, Ministry, Mumbai-32. Secretary to Deputy Chief Minister, Ministry, Mumbai-32, 8. The minister/ s. Private Secretary to the Minister of State, 9. Leader of Opposition, Secretary to Legislative Council/ Legislative Assembly, Maharashtra Legislature Secretariat, Mumbai 10. Senior Personal Assistant to the Chief Secretary, Mantralaya, Mumbai-32, 11.m. Senior Personal Assistant to Additional Chief Secretary (V.C.O.1), Ministry of Finance, Mumbai-32, 14. Accountant General (Accounts and Accounts), Maharashtra-1, Mumbai/ Nagpur
Page 2 of 4
# Page 3
Government Resolution No: BUD-1423/ PR No.76/ SWASAIC.1
The Accountant General (Audit), Maharashtra 1, Mumbai/ Nagpur 16. All District Collectors, Maharashtra 17. Joint Secretary, General Administration Department, Mantralaya, Mumbai 17. Resident Audit Officer, Mumbai 20. All District Treasury Officers, Maharashtra 21. Subsidiary and Accounts Officer, Mumbai 22. General Administration Department, Office- 25, Mantralaya, Mumbai 23. Cell Officer, Finance Department, (Budget 14/ Expenditure-4), Ministry of Finance, Mumbai 24.
Page 3 of 4
# Page 4
Government Resolution No: BUD-1423/ PR No.76/ SWASAIC.1
Statement" A"
------------------------------------------------------------------------------------------------------------------------------
| A.A.  | The name of the district | The number of freedom fighters | Disbursement of funds for Mahe (September, 2023) (Rs.) |
| 1     | The city of Mumbai       | 59                             | 11,80,000/                                             |
| 2     | Mumbai Suburbs           | 240                            | 48,00,000/                                             |
| 3     | thana                    | 11                             | 2,20,000/                                              |
| 4     | Palghar                  | 16                             | 3,20,000/                                              |
| 5     | Raigad                   | 45                             | 9,00,000/                                              |
| 6     | Ratnagiri                | 13                             | 2,60,000/                                              |
| 7     | Sindhudurg.              | 15                             | 3,00,000/                                              |
| 8     | Nashik                   | 140                            | 28,00,000/                                             |
| 9     | Jalgaon                  | 139                            | 27,80,000/                                             |
| 10    | Dhule                    | 80                             | 16,00,000/                                             |
| 11    | Nandurbar                | 8                              | 80,000/-                                               |
| 12    | Ahmednagar               | 164                            | 32,80,000/                                             |
| 13    | Pune                     | 460                            | 92,00,000/                                             |
| 14    | Satara                   | 286                            | 57,20,000/                                             |
| 15    | Sangli                   | 279                            | 55,80,000/                                             |
| 16    | Solapur                  | 183                            | 36,60,000/-                                            |
| 17    | Kolhapur                 | 188                            | 37,60,000/                                             |
| 18    | Aurangabad               | 228                            | 45,60,000/-                                            |
| 19    | Jalna                    | 172                            | 34,40,000/                                             |
| 20    | bead                     | 639                            | 1,27,80, 000/                                          |
| 21    | Nanded                   | 320                            | 64,00,000/                                             |
| 22    | Hingoli                  | 132                            | 26,40,000/-                                            |
| 23    | Parbhani                 | 80                             | 16,00,000/                                             |
| 24    | Latur                    | 359                            | 71,80,000/                                             |
| 25    | Osmanabad                | 574                            | 1,14,80, 000/                                          |
| 26    | Amaravati                | 49                             | 9,80,000/                                              |
| 27    | buldhana                 | 19                             | 3,80,000/                                              |
| 28    | Yavatmal                 | 3                              | 60,000/-                                               |
| 29    | Akola                    | 60                             | 12,00,000/                                             |
| 30    | Washim                   | 9                              | 1,80,000/                                              |
| 31    | Nagpur                   | 320                            | 64,00,000/                                             |
| 32    | Wardha                   | 35                             | 7,00,000/                                              |
| 33    | Bhandara                 | 22                             | 4,40,000/-                                             |
| 34    | Gondia                   | 15                             | 3,00,000/                                              |
| 35    | Chandrapur               | 25                             | 5,00,000/                                              |
| Total | 5383                     | 10,76,60, 000/                 |
------------------------------------------------------------------------------------------------------------------------------
Page 4 of 4
