# Page 1
The newly constructed Government Medical College,
Mumbai or Institution of the Year - 2023-24 or Financial
from grants under State Schemes during the year.
Administrative for the purchase of machinery and equipment
regarding the approval.
Government of Maharashtra
Department of Medical Education and Pharmaceuticals,
Government Decision, No: Yantrakh-2024 / No.110 / Pr.
Gokuldas Tejpal Hospital Complex, New G.T. Complex,
9th Floor, Mantralaya, Mumbai - 400 001
Date: February 14, 2024
Read: 1) Government Decisions, Industries, Power and Labour Department, No.Bhankhas-2014 / No.82 /
Part-III / Industry-IV, dated 01.12.2016
2) Government Decision, Department of Public Health, No. Procurement-2016 / Q.No.240 /
Health - 8, Date 26.07.2017
3) Government Decisions, Industries, Power and Labour Department, No. Narrow-2016 /
Q. No.215 / Industry-4, dated 24.08.2017
4) Government Decisions, Industries, Power and Labour Department, No.Bhankhas-2021 / No.8 /
Industry-4, Date 07.05.2021
5) Letter from Commissioner, Medical Education and Research, Mumbai File No. - DMER- 22011/94/2024 - PROC1, dated - 08.02.2024
The government's decision:
The newly established Government Medical College, Mumbai is funded by the Government of India.
Rs. 2,13,94, 640 / - (Rupees Two Crore Thirteen Lakhs) from grants under State Schemes in a year
come to buy machinery and equipment for a price of ninety-four thousand six hundred and forty only)
Administrative approval is being granted subject to the following conditions under the Government Decision.
-------------------------------------------------------------------------------------------------------------------------------------------
| A. No. | The name of the machine                     | The number of n | Price (including all taxes) | Total cost (including all taxes) |
| 1      | Microscope (specified age in pathology)     | 30              | 32500                       | 975000                           |
| 2      | Culture plate / Peri dishes (10 piece pack) | 30              | 5800                        | 174000                           |
| 3      | Glass Warrack Inculcating Pasteur           | 1               | 990800                      | 990800                           |
| 4      | Facility for Hitting Slide                  | 1               | 158200                      | 158200                           |
| 5      | Anaerobic apretus                           | 1               | 58600                       | 58600                            |
| 6      | Atoclave                                    | 1               | 458600                      | 458600                           |
| 7      | Balance electronic digital                  | 1               | 158400                      | 158400                           |
-------------------------------------------------------------------------------------------------------------------------------------------
# Page 2
Government Decision No: Yantrakh-2024 / Q.No.110 / Pr.
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
| A. No. | The name of the machine                                                                                                                                                                                                                                               | The number of n | Price (including all taxes) | Total cost (including all taxes) |
| 8      | Biosafety Cabinet Type-2A                                                                                                                                                                                                                                             | 1               | 498300                      | 498300                           |
| 9      | BOD Incubator                                                                                                                                                                                                                                                         | 2               | 98600                       | 197200                           |
| 10     | Serifuse                                                                                                                                                                                                                                                              | 2               | 58600                       | 117200                           |
| 11     | CO2 Equipment / Candle Jar                                                                                                                                                                                                                                            | 1               | 152600                      | 152600                           |
| 12     | The computer unit                                                                                                                                                                                                                                                     | 2               | 98300                       | 196600                           |
| 13     | Deep Freezer - 20 to and from Deep Freezer                                                                                                                                                                                                                            | 1               | 485000                      | 485000                           |
| 14     | Distillator Plant                                                                                                                                                                                                                                                     | 1               | 55700                       | 55700                            |
| 15     | Eliza Reader with Washer                                                                                                                                                                                                                                              | 1               | 650200                      | 650200                           |
| 16     | Hot ear ohhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh | 2               | 89600                       | 179200                           |
| 17     | Incubator                                                                                                                                                                                                                                                             | 2               | 88700                       | 177400                           |
| 18     | Lab refrigerator (minimum 400 liters)                                                                                                                                                                                                                                 | 1               | 298600                      | 298600                           |
| 19     | Laminar Fruit                                                                                                                                                                                                                                                         | 1               | 450000                      | 450000                           |
| 20     | micrometer eye piece                                                                                                                                                                                                                                                  | 2               | 4800                        | 9600                             |
| 21     | The micrometer stage                                                                                                                                                                                                                                                  | 2               | 4900                        | 9800                             |
| 22     | Microscope binoculars                                                                                                                                                                                                                                                 | 16              | 59800                       | 956800                           |
| 23     | Micro with universal condenser quantity oil emulsion, bright field, face contrast and dark ground                                                                                                                                                                     | 1               | 298600                      | 298600                           |
| 24     | PH Determination Apparatus                                                                                                                                                                                                                                            | 2               | 35600                       | 71200                            |
| 25     | Serium Inspectors                                                                                                                                                                                                                                                     | 1               | 55200                       | 55200                            |
| 26     | VRDL Shaker                                                                                                                                                                                                                                                           | 1               | 87200                       | 87200                            |
| 27     | Vertex Mixer                                                                                                                                                                                                                                                          | 1               | 45900                       | 45900                            |
| 28     | Water Bath with Variable Temperature                                                                                                                                                                                                                                  | 1               | 52300                       | 52300                            |
| 29     | Oil-immersion lens for the Stundt microscope                                                                                                                                                                                                                          | 50              | 1500                        | 75000                            |
| 30     | Collini Quarter                                                                                                                                                                                                                                                       | 1               | 52100                       | 52100                            |
| 31     | Antibiotic Disc for Antibiotic Specificity Teachstag                                                                                                                                                                                                                  | 1               | 998600                      | 998600                           |
| 32     | The antibiotic zone scale                                                                                                                                                                                                                                             | 10              | 21500                       | 215000                           |
| 33     | Antisera-shalemonella                                                                                                                                                                                                                                                 | 2               | 58900                       | 117800                           |
| 34     | Antiserae - Shigelladicenteria                                                                                                                                                                                                                                        | 2               | 58900                       | 117800                           |
| 35     | Anticera-shigellaflaxanarii                                                                                                                                                                                                                                           | 2               | 88900                       | 177800                           |
| 36     | Aetisera-Shigelasoni                                                                                                                                                                                                                                                  | 2               | 58900                       | 117800                           |
| 37     | Antisera-vibro cholera                                                                                                                                                                                                                                                | 2               | 58900                       | 117800                           |
| 38     | ATCC Shren-Interuchus faecalis 29213                                                                                                                                                                                                                                  | 2               | 25500                       | 51000                            |
| 39     | ATCC array न-इ.क LOLI 25922                                                                                                                                                                                                                                           | 2               | 27200                       | 54400                            |
| 40     | ATCC array न-इ.क LOLI 35218                                                                                                                                                                                                                                           | 2               | 23690                       | 47380                            |
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Page 2 of 6
# Page 3
Government Decision No: Yantrakh-2024 / Q.No.110 / Pr.
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
| A. No. | The name of the machine                                                                | The number of n | Price (including all taxes) | Total cost (including all taxes) |
| 41     | ATCC Shrine - Pseudomonas aeruginosa 27853                                             | 2               | 25980                       | 51960                            |
| 42     | ATCC strain Staphylococcus aureus 25923                                                | 2               | 25600                       | 51200                            |
| 43     | ATCC Shrine - Pseudomonas aeruginosa 29213                                             | 2               | 25800                       | 51600                            |
| 44     | Micropipet - Multi-channel                                                             | 2               | 60000                       | 120000                           |
| 45     | Micropipette - single channel set of three                                             | 1               | 95600                       | 95600                            |
| 46     | Digital thermometers of different temperatures                                         | 20              | 2500                        | 50000                            |
| 47     | - 80 to Deep Freezer with UPS                                                          | 01              | 598900                      | 598900                           |
| 48     | Microcentrifuges / Refrigerator Sanrifuges                                             | 1               | 258900                      | 258900                           |
| 49     | Personal Protective Equipment (PPE)                                                    | 100             | 52                          | 5200                             |
| 50     | Viral Ransport Media (VTM)                                                             | 5               | 15800                       | 79000                            |
| 51     | All Other Consumable Kits as Required for Varrology                                    | 2               | 259800                      | 519600                           |
| 52     | Magnifying glass with metal handle                                                     | 10              | 590                         | 5900                             |
