# Page 1
------------------------------------------------------------------------------------------------------------------------------------------------------------
| Smriti Van in the name of late Balasaheb Thackeray and                                                                                                   |
| Memorial at Chhatrapati Sambhajinagar at a cost of Rs. 3. 99                                                                                             |
| With regard to disbursement of funds to the tune of crores of rupees,...                                                                                 |
|                                                                                                                                                          |
| Government of Maharashtra                                                                                                                                |
| the Urban Development Department                                                                                                                         |
| Government Decision No.Synchronous-2023 / Q र.315/नव G-20                                                                                                |
| Mantralaya, Mumbai 400 032                                                                                                                               |
| Date: 30th March, 2026                                                                                                                                   |
|                                                                                                                                                          |
| Read:                                                                                                                                                    |
| 1) Government Decision, Urban Development Department No.Synchronous-2015 / Pro. र.288/नव G-20, D 04.01.2016                                              |
| 2) Government Decision, Urban Development Department No.Synchronous-2016 / Q.No.434 / NV-20, D 29.03.2017                                                |
| 3) Government Decision, Urban Development Department No.Synchronous-2016 / Q.No.434 / NV-20, D 22.02.2019                                                |
| 4) Government Decision, Urban Development Department No.Synchronous-2016 / Q.No.434 / NV-20, D 18.02.2020                                                |
| 5) Government Decision, Urban Development Department No. Memorial-2016 / Q. No.279 / NV-24, D 09.03.2020                                                 |
| 6) Government Decision, Urban Development Department No.Synchronous-2016 / Q.No.434 / NV-20, D 30.01.2023                                                |
| 7) Government Decision, Urban Development Department No.Synchronous-2023 / Q.No.315 / NV-20, D 15.03.2024                                                |
| 8) Department of Finance, Circular No. Finance 2025 / Q र.44/अर Th-3, D 07.04.2025                                                                       |
| 9) Department of Finance, Circular No. Supplement-2025 / Pro. र.84/अर Th-3, D 07.01.2026                                                                 |
| 10) Letter from Commissioner, Chhatrapati Sambhajinagar Municipal Corporation र.मनप / City Engineer / 2025/458, D 17.03.2025.                            |
| 11) Letter from Joint Commissioner, Municipal Council Administration Branch, Collectorate, Chhatrapati Sambhajinagar र.2026/नप                           |
| Fund Demand / 431, D. 27.03.2026                                                                                                                         |
| 12) Memorandum, Urban Development Department No. Supplement-2025 / Q. No.445 / NV-20, D 30.03.2026                                                       |
|                                                                                                                                                          |
| The Proposal: -                                                                                                                                          |
| The memorial and memorial of Late Balasaheb Thackeray to be set up at Chhatrapati Sambhajinagar at Reference No.5                                        |
| Under Government Decision Rs. 25.49.15, 611 / - (Rupees twenty five crore ninety five lakh fifteen thousand six hundred and eleven only)                 |
| The amount has been given administrative sanction. Late Balasaheb Thackeray's memorial and memorial at Chhatrapati Sambhajinagar.                        |
| For setting up, Government Decision at Reference No.2 @ Rs. 5,00,00, 000 / - (Rupees Five Crore only), Government at Reference No.3                      |
