# Page 1
To make available the self-financing amount of Municipal Councils/ Nagar Panchayats in urban tribal areas under Maharashtra Suvarna Jayanti Nagarothana Mahaabhiyan from tribal applications.
The Government of Maharashtra
the Urban Development Department
Government Resolution No. Parikshit-2015/ P.S.No.273/ NV-33
Ministry, Mumbai- 400 032.
Date: December 11, 2020
Reference: 1) Government Resolution Urban Development Department No. 273/ NV-33 dated 09th March, 2016.
The Proposal:
As per the scheme's financial framework, the share of urban local bodies should be 30 per cent for Class D municipal corporations, 25 per cent for Class A municipal councils, 15 per cent for Class B municipal councils and 10 per cent for Class C municipal councils/ nagar panchayats. However, as the Municipal Councils/ Nagar Panchayats in the tribal sub-plan areas are not financially sound, as they are not able to pay for the projects sanctioned under the Maharashtra Suvarna Jayanti Mahaabhiyan in the area, the self-assurance amount of these Municipal Councils/ Nagar Panchayats is made available through Tribal Appropriation (TSP). The list of Municipal Councils/ Nagar Panchayats in the tribal sub-plan area is at Annexure-A to the said Government Resolution. As suggested by the Tribal Development Department in the" Annexure-A" of the said Government decision, the inclusion of some more Municipal Councils/ Nagar Panchayats in the main tribal sub-plan areas of the State was under consideration of the Government.
Government's decision:
As the Municipal Councils/ Nagar Panchayats in the tribal sub-plan area are not financially sound and are unable to pay their share of funds for the projects sanctioned under the Maharashtra Suvarna Jayanti Nagarothana Mahaabhiyan as per the financial figures in the scheme, the list of Nagar Panchayats/ Municipal Councils in Annexure' A" of the relevant Government decision is being updated as follows.
# Page 2
GOVERNMENT DECISION NO.: SAMRIDH-2015/ PR No. 273/ NV-33 ANNEXURE-A
(Government Resolution Urban Development Department No: 2015/ No. 273/ NV-33D. as of March 9, 2016)
----------------------------------------------------------------------------------------------
| A.A. | the Nagar Panchayat/ Municipal Council           | Classification of Municipalities |
| 1    | Jawhar Municipal Council, Palghar                | Class C Municipal Council        |
| 2    | Dahanu Municipal Council, Palghar                | " B" class Municipal Council     |
| 3    | Trimbakeshwar Municipal Council, Nashik District | Class C Municipal Council        |
| 4    | Igatpuri Municipal Council, Nashik District      | Class C Municipal Council        |
| 5    | Nandurbar Municipal Council, Nandurbar           | Class A Municipal Council        |
| 6    | Taloda Municipal Council, Nandurbar              | Class C Municipal Council        |
| 7    | Navapur Municipal Council, Nandurbar             | Class C Municipal Council        |
| 8    | Chikhaldara Municipal Council, G. Amaravathi     | Class C Municipal Council        |
| 9    | Pandharkawada Municipal Council, Yavatmal        | Class C Municipal Council        |
| 10   | Kinwat Municipal Council, Nanded                 | Class C Municipal Council        |
| 11   | Shahapur Nagar Panchayat, G. Thane               | the New Nagar Panchayat          |
| 12   | Kalwan Nagar Panchayat, G. Nashik                | the New Nagar Panchayat          |
| 13   | Surgana Nagar Panchayat, G. Nashik               | the New Nagar Panchayat          |
| 14   | Peth Nagar Panchayat, G. Nashik                  | the New Nagar Panchayat          |
| 15   | Dhadgaon Nagar Panchayat, G. Nandurbar           | the New Nagar Panchayat          |
| 16   | Sironcha Nagar Panchayat, G. Gadchiroli          | the New Nagar Panchayat          |
| 17   | Aheri Nagar Panchayat, Gadchiroli                | the New Nagar Panchayat          |
| 18   | Etapalli Nagar Panchayat, Gadchiroli             | the New Nagar Panchayat          |
| 19   | Dhanora Nagar Panchayat, Gadchiroli              | the New Nagar Panchayat          |
| 20   | Kurkheda Nagar Panchayat, Gadchiroli             | the New Nagar Panchayat          |
| 21   | Korchi Nagar Panchayat, Gadchiroli               | the New Nagar Panchayat          |
| 22   | Bhamragad Nagar Panchayat, Gadchiroli            | the New Nagar Panchayat          |
| 23   | Vikramgad Nagar Panchayat, G. Palghar            | the New Nagar Panchayat          |
| 24   | Talsari Nagar Panchayat, G. Palghar              | the New Nagar Panchayat          |
| 25   | Wada Nagar Panchayat, G. Palghar                 | the New Nagar Panchayat          |
| 26   | Mokhada Nagar Panchayat, G. Palghar              | the New Nagar Panchayat          |
| 27   | Dharani Nagar Panchayat, G. Amaravathi           | the New Nagar Panchayat          |
----------------------------------------------------------------------------------------------
Page 2 of 3
# Page 3
GOVERNMENT DECISION NO.: SAMRIKH-2015/ PR. NO. 273/ NV-33 02. GOVERNMENT DECISION TO ALL 27 NAGAR PARISADES/ NAGAR PANCHAYATS AS Mentioned Above Urban Development Department No.: SAMRIKH-2015/ PR. No.273/ NV-33D All benefits/ facilities as on March 9, 2016 are admissible.
