# Page 1
The newly constructed Government Medical College,
Jalna or organization name - 2024-25 or financial
from grants under State Schemes during the year.
Administrative for the purchase of machinery and equipment
regarding the approval.
Government of Maharashtra
Department of Medical Education and Pharmaceuticals,
Government Decision, No: Yantrakh-2024 / Q. No.697 / Pr. 1,
Gokuldas Tejpal Hospital Complex, New G.T. Complex,
9th Floor, Mantralaya, Mumbai - 400 001
Date: January 3, 2025
Read: 1) Government Decisions, Industries, Power and Labour Department, No.Bhankhas-2014 / No.82 /
Part-III / Industry-IV, dated 01.12.2016
2) Government Decision, Department of Public Health, No. Procurement-2016 / Q.No.240 /
Health - 8, Date 26.07.2017
3) Government Decisions, Industries, Power and Labour Department, No. Narrow-2016 /
Q. No.215 / Industry-4, dated 24.08.2017
4) Government Decisions, Industries, Power and Labour Department, No.Bhankhas-2021 / No.8 /
Industry-4, Date 07.05.2021
5) Letter from Commissioner, Medical Education and Research, Mumbai File No. - DMER- 22011/511/2024 - PROC1, dated - 15.10.2024
The government's decision:
The newly established Government Medical College, Jalna is funded by the Government of India.
Rs. 3,64,09, 925 / - (Rupees Three Crore Sixty Four Lakh Nine) from grants under State Schemes in a year
Machinery and Equipment of such a value (including all taxes) as one thousand nine hundred and twenty-five only
The purchase is being granted administrative approval under this Government Decision subject to the following conditions.
----------------------------------------------------------------------------------------------------------------------------
| A. No. | The name of the machine                                                   | Nag | Price per rupee | Total Price |
| 1      | Table with marble or stainless-steel top with a minimum size of 6 x 2 x 3 | 10  | 2000            | 20000       |
| 2      | Table with marble or stainless-steel tops - Half standard size            | 10  | 30000           | 300000      |
| 3      | Drill machine                                                             | 02  | 7500            | 15000       |
| 4      | hand saw, prefabricated metal,                                            | 05  | 2995            | 14975       |
| 5      | Band Saw for Sectioning Bodies and Limbs                                  | 01  | 413000          | 413000      |
----------------------------------------------------------------------------------------------------------------------------
# Page 2
Government Decision No: Yantrakh-2024 / Q. No.697 / Pr.
---------------------------------------------------------------------------------------------------------------------------------------------------------
| A. No. | The name of the machine                                                                                | Nag | Price per rupee | Total Price |
| 6      | Stools, Prefabricated Metal                                                                            | 50  | 2500            | 125000      |
| 7      | Brain Niff                                                                                             | 05  | 1500            | 7500        |
| 8      | Machriari Cooler with Arraignment to Keep at List 8 Body or Suitable Allergenative Arraignment         | 01  | 680000          | 680000      |
| 9      | Storage Tank to Hold 10 Cadwares, Static / Muable Durable Tank with Input and Output Facility with Lid | 01  | 975000          | 975000      |
| 10     | Plastic Tank for Storing Soft and Dissected Parts                                                      | 15  | 29500           | 442500      |
| 11     | Roly table (still)                                                                                     | 15  | 25900           | 388500      |
| 12     | Multimedia projector with screen                                                                       | 01  | 150000          | 150000      |
| 13     | Movie camera with projection screen                                                                    | 1   | 450000          | 450000      |
| 14     | Computer with Internet Connection and Widel CD Library                                                 | 03  | 70000           | 210000      |
| 15     | X-ray View Box                                                                                         | 2   | 9800            | 19600       |
| 17     | the charts,                                                                                            | 50  | 4980            | 249000      |
| 18     | Diagrams                                                                                               | 40  | 4980            | 199200      |
| 19     | Anatomy Models                                                                                         | 20  | 24980           | 499600      |
| 20     | The empirical models                                                                                   | 20  | 24980           | 499600      |
| 21     | Teaching Manikin                                                                                       | 20  | 24980           | 499600      |
| 22     | Slides                                                                                                 | 64  | 3900            | 249600      |
| 23     | Dissection Intuitions                                                                                  | 20  | 1800            | 36000       |
| 24     | Meat Cutting Machine for Thin Body Sections (Rons and Vertical) for Gross Anatomy Sectional Study      | 02  | 100000          | 200000      |
| 25     | Steel Ray (Big and Small)                                                                              | 06  | 3800            | 22800       |
| 26     | an impulse machine                                                                                     | 02  | 60000           | 120000      |
| 27     | the computer's                                                                                         | 01  | 80000           | 80000       |
| 28     | Printer                                                                                                | 01  | 35000           | 35000       |
| 29     | Laptop                                                                                                 | 01  | 80000           | 80000       |
| 30     | Microscopous binoculars                                                                                | 05  | 35360           | 176800      |
| 31     | Dictionary microscope                                                                                  | 35  | 10000           | 350000      |
| 32     | Microtome, rotary                                                                                      | 01  | 265500          | 265500      |
| 33     | Microtome, slide, large cutting                                                                        | 01  | 65800           | 65800       |
| 34     | Cabinet for Slides (1000)                                                                              | 02  | 85000           | 170000      |
| 35     | Incubator                                                                                              | 01  | 75000           | 75000       |
| 36     | Paraffin Imboding Bath                                                                                 | 02  | 4000            | 8000        |
| 37     | Hot Plate for Faulting Section                                                                         | 02  | 7500            | 15000       |
| 38     | Hot Air Oven for Drying Slides (450C)                                                                  | 01  | 50000           | 50000       |
| 39     | Refrigerator (minimum 165 liters)                                                                      | 03  | 25000           | 75000       |
| 40     | The Diamond Pencil                                                                                     | 30  | 200             | 6000        |
---------------------------------------------------------------------------------------------------------------------------------------------------------
Page 2 of 8
# Page 3
Government Decision No: Yantrakh-2024 / Q. No.697 / Pr.
------------------------------------------------------------------------------------------------------------------------------------------
| A. No. | The name of the machine                                                                 | Nag | Price per rupee | Total Price |
| 41     | Articulated Skelton Set                                                                 | 03  | 59000           | 177000      |
| 42     | A disarticulated bone set                                                               | 10  | 50000           | 500000      |
| 43     | Wet specimen jar (glass)                                                                | 25  | 2930            | 73250       |
| 44     | Steel racks                                                                             | 20  | 5000            | 100000      |
| 45     | Deckstop Computer / Laptop with Copier Facility                                         | 02  |                 | 251800      |
| 46     | Microscope oil imaging                                                                  | 10  | 16800           | 168000      |
| 47     | Demotion Eye Piece                                                                      | 03  | 3920            | 11760       |
| 48     | Double Demotion Eye Piece                                                               | 03  | 3920            | 11760       |
| 49     | Stead Incubator                                                                         | 01  | 16800           | 16800       |
| 50     | Westgreens pipette for इ.एस.आर. on stand (with space pipette)                           | 20  | 1456            | 29120       |
| 51     | Winropus pipette for ESR and PCV withstand                                              | 20  | 560             | 11200       |
| 52     | Hemoglobin-meters Sahlis or Hellige (with space)                                        | 30  | 20700           | 621000      |
| 53     | The hemocytometer                                                                       | 60  | 2240            | 134400      |
| 54     | Thrommeters, Balance Microslides and Glassware                                          | 03  | 61600           | 184800      |
| 55     | Multi-channel physiograph, 3 channels, complete with accessories                        | 01  | 952000          | 952000      |
| 56     | Centrifuge, high speed with technometer                                                 | 02  | 39200           | 78400       |
| 57     | Chlorometer, photoelectric                                                              | 02  | 13440           | 26880       |
| 58     | pH meter electric                                                                       | 02  | 13440           | 26880       |
| 59     | digital physiograph                                                                     | 02  | 90000           | 180000      |
| 60     | The digital parameter                                                                   | 01  | 298900          | 298900      |
| 61     | Spygmometer (digital) (Mercury-based intuitions to be replaced with suitable allergens) | 20  | 3000            | 60000       |
| 62     | Stethoscope                                                                             | 60  | 2240            | 134400      |
| 63     | Stethoscope Demonstration with Multiple Air Pieces                                      | 02  | 1120            | 2240        |
| 64     | Polygraphs                                                                              | 01  | 1750000         | 1750000     |
| 65     | Sparometer, Ordinary                                                                    | 10  | 22500           | 225000      |
| 66     | Digital Sparometer                                                                      | 06  | 150000          | 900000      |
| 67     | The Mosos Erograph                                                                      | 07  | 25760           | 180320      |
| 68     | Clinical thrombometers                                                                  | 50  | 3600            | 180000      |
| 69     | Campus anesthesiometer                                                                  | 30  | 2240            | 67200       |
| 70     | Thrombometer-anesthesiometer                                                            | 30  | 2240            | 67200       |
| 71     | The algometers                                                                          | 01  | 159800          | 159800      |
| 72     | No Hummer                                                                               | 32  | 336             | 10752       |
| 73     | Stethograph                                                                             | 22  | 3360            | 73920       |
| 74     | Bicycle erometer                                                                        | 01  | 299800          | 299800      |
------------------------------------------------------------------------------------------------------------------------------------------
Page 3 of 8
# Page 4
Government Decision No: Yantrakh-2024 / Q. No.697 / Pr.
-------------------------------------------------------------------------------------------------------------------------------------
| A. No. | The name of the machine                                                            | Nag | Price per rupee | Total Price |
| 75     | Ophthalmoscope                                                                     | 05  | 22500           | 112500      |
| 76     | Schematic Eye                                                                      | 01  | 3920            | 3920        |
| 77     | Color Precipitation Lantern Idrige Green                                           | 01  | 21280           | 21280       |
| 78     | The dynamometer                                                                    | 10  | 16800           | 168000      |
| 79     | the otoscope                                                                       | 01  | 14500           | 14500       |
| 80     | Stop watch                                                                         | 15  | 840             | 12600       |
| 81     | Digital ECG machine                                                                | 02  | 75000           | 150000      |
| 82     | Yoga mat                                                                           | 100 | 500             | 50000       |
| 83     | Tuning fork to test hearing 32-10000 cps (100,256,512 HZ)                          | 02  | 1344            | 2688        |
| 84     | Van Slyk Apretus Manomeric (Disappearable)                                         | 01  | 140000          | 140000      |
| 85     | Venice pressure apparatus (Desirable)                                              | 01  | 224000          | 224000      |
| 86     | Douglas Bag, Complet (Desirable)                                                   | 01  | 10640           | 10640       |
